,year,value,ISO2,energy_type
348,2000,12051.0,SK,Total Non-Renewable
349,2000,6300.0,SK,Total Renewable
350,2000,46.0,SL,Total Non-Renewable
351,2000,20.0,SL,Total Renewable
352,2000,1637.4609999999998,SN,Total Non-Renewable
353,2000,22.4,SN,Total Renewable
354,2000,310.0,SO,Total Non-Renewable
355,2000,0.0,SO,Total Renewable
356,2000,320.98199999999997,SR,Total Non-Renewable
357,2000,1406.2749999999999,SR,Total Renewable
358,2000,27.330000000000002,ST,Total Non-Renewable
359,2000,8.687999999999999,ST,Total Renewable
360,2000,2092.14,SV,Total Non-Renewable
361,2000,1688.011,SV,Total Renewable
362,2000,28245.0,SY,Total Non-Renewable
363,2000,4799.184,SY,Total Renewable
364,2000,16.419,SZ,Total Non-Renewable
365,2000,382.687,SZ,Total Renewable
366,2000,87.4,TC,Total Non-Renewable
367,2000,0.0,TC,Total Renewable
368,2000,122.4,TD,Total Non-Renewable
369,2000,8.6,TD,Total Renewable
370,2000,70.667,TG,Total Non-Renewable
371,2000,157.4,TG,Total Renewable
372,2000,107114.264,TH,Total Non-Renewable
373,2000,14261.232,TH,Total Renewable
374,2000,540.0,TJ,Total Non-Renewable
375,2000,18121.0,TJ,Total Renewable
376,2000,0.674,TK,Total Non-Renewable
377,2000,0.043,TK,Total Renewable
378,2000,20.528,TL,Total Non-Renewable
379,2000,0.0,TL,Total Renewable
380,2000,12271.0,TM,Total Non-Renewable
381,2000,4.354,TM,Total Renewable
382,2000,12792.0,TN,Total Non-Renewable
383,2000,162.487,TN,Total Renewable
384,2000,49.664,TO,Total Non-Renewable
385,2000,0.135,TO,Total Renewable
386,2000,109671.0,TR,Total Non-Renewable
387,2000,42348.249,TR,Total Renewable
388,2000,6831.2,TT,Total Non-Renewable
389,2000,25.872,TT,Total Renewable
390,2000,7.8759999999999994,TV,Total Non-Renewable
391,2000,0.014,TV,Total Renewable
392,2000,160436.7,TW,Total Non-Renewable
393,2000,7693.65,TW,Total Renewable
394,2000,173.43633599999998,TZ,Total Non-Renewable
395,2000,2491.747,TZ,Total Renewable
396,2000,117648.0,UA,Total Non-Renewable
